,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
2002-12-04,"10209,10205,10212,10213,10207,10208,10202",7,"-316.161,253.2522,-835.878,-923.928,96.6492,-359.553,742.236","-326.2128,326.3322,231.9696,250.5504,-326.7558,178.4346,197.5116","ESO,CSO,DAO,CSO,EAO,EAI,AXX","BETA-GAMMA,BETAAGAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETA-GAMMA,ALPHAGAMMA","6,5,8,3,18,24,1"
2002-12-05,"10212,10207,10208,10213,10209,10205,10203",7,"-718.206,331.3146,-134.0742,-850.884,-112.6992,445.3302,542.5458","215.3898,-324.2826,163.2798,233.1696,-324.7446,328.779,113.5758","DAO,EAO,EAI,CAO,CSO,CRO,BXO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA","9,15,26,5,11,5,3"
2002-12-06,"10205,10214,10208,10207,10213,10212,10215,10209",8,"602.4,434.25,100.7154,513.618,-726.0,-548.4528,-891.408,112.0188","330.963,199.3344,165.4212,-337.857,233.4492,199.5888,-302.4996,-338.8044","CRO,DRO,EAO,ESO,CAO,CAO,HAX,CSO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,BETA-GAMMA","4,7,27,10,6,12,1,6"
2002-12-07,"10215,10209,10207,10214,10208,10213,10212",7,"-791.208,405.3354,703.128,627.222,392.9586,-583.95,-342.9018","-318.9876,-320.3994,-335.5122,201.4596,150.873,234.6678,201.2106","HSX,HAX,ESO,DAO,DAO,CAO,DAO","ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA","2,1,5,9,8,4,13"
2002-12-08,"10209,10215,10214,10213,10208,10212,10207",7,"578.0646,-668.52,779.568,-386.0634,594.5382,-132.7032,854.304","-334.4658,-302.0922,219.6066,236.4864,152.8026,219.9522,-301.6242","FAO,HSX,DAO,CAO,DAO,DAO,HSX","BETAA,ALPHAGAMMA,BETA-GAMMA,BETAA,BETAA,BETAA,ALPHA","6,2,9,2,4,12,1"
2002-12-09,"10217,10216,10208,10218,10215,10214,10213,10212,10207,10205,10209",11,"-792.096,562.005,745.41,-850.26,-492.8934,893.448,-229.7166,82.7688,920.874,907.176,732.18","204.177,-396.1866,187.6758,-333.0726,-300.6054,220.1718,238.6308,238.7094,-284.7522,301.7394,-300.732","AXX,CSO,DAO,HAX,HAX,ESO,CSO,DAO,HAX,HSX,HSX","ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA","2,6,5,1,2,9,2,9,1,2,1"
2002-12-10,"10213,10221,10220,10218,10217,10215,10212,10209,10205,10214,10219,10216,10207",13,"-16.57632,-791.844,-699.258,-751.962,-652.218,-302.9952,293.439,841.482,915.204,942.864,411.9888,703.326,929.256","240.8748,367.665,-200.4372,-331.86,206.2668,-298.6224,240.6222,-299.9976,333.4464,219.8076,-81.5058,-395.0262,-285.0738","CSO,HSX,DAO,HAX,HSX,DAO,DAO,HAX,CAO,BXO,HAX,DAO,HSX","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA","6,2,12,2,4,11,9,1,2,3,3,3,1"
2002-12-11,"10212,10219,10218,10217,10215,10213,10209,10221,10216,10220",10,"488.9244,598.9074,-622.248,-464.0058,-64.944,196.587,915.612,-668.574,820.956,-521.1876","241.9842,-97.2468,-297.6462,208.8864,-296.4444,259.3758,-284.0058,385.7976,-379.0656,-198.1698","DSO,HSX,CSO,AXX,DAO,AXX,HSX,HSX,DSO,DAI","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETA-GAMMA","6,1,3,1,10,1,1,1,2,16"
2002-12-12,"10222,10221,10220,10219,10217,10215,10213,10212,10218,10209",10,"50.96892,-516.4236,-343.1322,756.798,-279.9666,113.4732,441.6078,685.314,-462.5676,932.064","-93.8436,388.6188,-195.6894,-79.8324,211.5438,-294.4356,276.9852,225.732,-311.526,-284.9508","CSO,CSO,DAI,AXX,BXO,DSO,CSO,DSO,CAO,HSX","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA","8,4,25,1,3,9,7,6,7,1"
2002-12-13,"10224,10223,10222,10220,10218,10217,10215,10213,10221",9,"-881.868,-849.57,263.985,-116.7342,-270.6264,-66.2784,335.4798,613.638,-337.4784","-265.5606,384.5916,-193.4466,-193.146,-308.9766,247.293,-276.588,293.7,391.5552","DAO,HSX,BXO,DAI,HSX,AXX,HRX,CSO,BXO","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETAAGAMMA","3,1,7,17,2,2,1,4,2"
2002-12-14,"10218,10227,10226,10224,10222,10221,10220,10213,10223,10225",10,"-48.74352,-545.1912,-670.716,-817.188,447.771,-191.2908,100.137,742.452,-772.92,-853.224","-290.301,95.9706,-451.6764,-279.6462,-209.0508,346.7352,-191.0202,309.4296,403.2252,290.5392","DAO,BXO,DSO,EAO,BXO,AXX,DAO,CSO,CSO,DAO","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","12,3,8,11,7,2,15,3,6,9"
2002-12-15,"10226,10223,10228,10227,10225,10221,10220,10215,10218,10224,10229",11,"-543.534,-647.526,-859.062,-349.0158,-726.642,16.0605,294.8592,691.182,177.7176,-701.898,-840.834","-448.8126,391.7064,-230.1186,116.3862,294.9132,349.1058,-206.2548,-292.557,-288.4764,-292.7274,259.4466","DAI,DSO,HSX,CSO,DAI,CRO,EAO,AXX,DAO,EAI,DAI","BETA-GAMMA,BETAA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETAA,BETAA,ALPHA,BETAA,BETA-GAMMA,BETAAGAMMA","19,5,1,4,9,4,16,1,16,22,7"
2002-12-16,"10229,10227,10226,10225,10224,10220,10218,10228,10223",9,"-726.714,-135.5916,-365.2464,-579.123,-547.089,521.4918,393.531,-744.3,-499.89","296.2392,119.4204,-445.6248,282.7752,-289.0794,-189.3108,-287.607,-242.778,411.0372","DKI,DSI,EKI,DAI,EAI,DAO,DAO,HRX,CAI","BETAAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA","28,8,20,14,25,12,12,1,7"
2002-12-17,"10229,10228,10227,10226,10225,10224,10223,10220,10218",9,"-560.145,-563.2794,118.5084,-179.76,-365.8944,-354.3684,-320.538,732.894,588.966","317.1366,-271.242,138.5574,-442.815,303.372,-235.9914,414.7464,-191.0964,-271.6152","EHI,AXX,DRI,EKI,DAI,EAO,DSO,HSX,HSX","BETA-GAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA","28,1,9,28,15,13,8,1,1"
2002-12-18,"10220,10229,10226,10227,10225,10223,10218,10224,10230",9,"855.84,-376.5888,15.0921,332.5356,-178.746,-123.5322,702.108,-99.3708,-829.836","-210.564,337.4076,-440.5932,139.527,306.6396,433.212,-288.7224,-216.0882,-125.016","HSX,EKI,FKI,DAO,DAI,DSO,CSO,EAO,DAO","ALPHAGAMMA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA,BETAAGAMMA,BETA-GAMMA,BETAAGAMMA,BETA-GAMMA-DELTA","3,38,42,19,14,11,4,26,5"
2002-12-19,"10230,10229,10228,10227,10226,10225,10224,10223,10220,10218",10,"-685.242,-192.573,-162.6966,543.4476,223.8042,49.03506,132.315,92.7906,930.492,828.222","-119.5128,340.8336,-263.955,138.8598,-439.3548,309.087,-214.1064,435.2622,-214.7532,-291.6882","DAO,EKI,BXO,CAO,FKI,DAO,EAO,CSO,HAX,AXX","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA","10,37,4,7,47,14,33,7,1,1"
2002-12-20,"10231,10229,10227,10225,10223,10224,10230,10218,10226,10228,10220",11,"-199.7088,48.48294,710.322,289.4862,288.969,340.6464,-513.9144,911.454,405.8508,49.04238,950.226","-390.9288,343.365,136.7538,309.9012,435.966,-213.4146,-114.4686,-296.8956,-439.2798,-261.6084,-219.7734","CSO,EAI,CAO,CAO,CAO,FRO,EAI,AXX,FKC,BXO,AXX","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA","2,21,4,6,4,17,12,1,45,2,1"
2002-12-21,"10231,10230,10229,10228,10227,10226,10225,10223,10224",9,"0.0,-315.9036,255.3198,258.2664,864.516,566.8914,509.9904,470.1822,503.553","-388.4316,-110.01,344.343,-260.5236,131.715,-440.5578,308.6784,435.144,-213.7218","DSO,EKI,FAO,BXO,AXX,FKC,HSX,DAO,DAO","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA","5,18,23,2,1,41,1,4,18"
2002-12-22,"10232,10231,10229,10227,10226,10225,10224,10223,10230",9,"132.894,199.7382,448.9266,940.572,698.622,673.176,671.532,627.054,-101.4558","249.5166,-387.1566,343.6746,126.2016,-443.2782,306.03,-215.9568,432.663,-106.5666","DAO,CAO,EAO,HSX,FKC,AXX,DSO,CSO,EAI","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,ALPHA,BETA,BETA,BETA-GAMMA-DELTA","3,6,23,1,29,2,13,5,27"
2002-12-23,"10232,10231,10230,10229,10226,10223,10224",7,"342.1284,389.136,118.293,619.272,794.292,751.506,804.78","249.7146,-387.366,-104.532,341.2074,-447.4236,428.5044,-219.8742","DAO,DAO,DHO,DAO,FKI,CAO,DAO","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA","3,10,22,11,26,4,22"
2002-12-24,"10233,10230,10229,10225,10224,10223,10226,10231",8,"-643.05,346.8648,704.922,820.992,875.334,834.084,843.432,558.3786","211.8126,-121.419,386.334,317.2896,-240.3684,378.3246,-451.8924,-389.2296","BXO,DHO,DAO,AXX,DAO,CAO,FKO,DAO","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA","4,21,10,1,22,3,13,6"
2002-12-25,"10234,10233,10231,10230,10229,10226,10224,10223",8,"-888.528,-433.374,708.108,542.4216,789.39,861.504,935.784,885.114","311.823,251.9784,-393.2466,-106.2138,427.8534,-457.2618,-230.5302,400.8198","HSX,CRO,DAO,DSO,DSO,EAO,DAO,AXX","ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA","1,5,5,9,4,4,10,1"
2002-12-26,"10234,10230,10235,10229,10231,10224",6,"-793.188,742.452,-448.1532,847.98,782.454,946.08","305.2902,-111.5208,253.4754,436.8126,-396.4962,-237.15","CSO,HAX,BXO,AXX,CAO,DAO","BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA","3,2,3,1,4,4"
2002-12-27,"10235,10234,10231,10230,10229",5,"-246.1308,-661.914,869.496,864.816,869.358","275.1024,313.4736,-388.6164,-100.7466,442.578","BXO,CAO,CSO,CAO,AXX","BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA","3,2,3,3,1"
2002-12-28,"10236,10235,10231,10230,10234",5,"425.3442,-83.247,884.4,942.576,-493.6488","322.647,261.8862,-411.399,-126.3156,336.9156","CAO,BXO,CSO,HSX,HSX","BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA","4,2,4,2,1"
2002-12-29,"10238,10237,10234,10236,10230",5,"-250.5804,0.0,-301.65,617.496,966.15","196.0134,-388.8534,358.8198,302.1408,-136.4352","AXX,BXO,CAO,DSO,HSX","ALPHA,BETAA,BETAA,BETAA,ALPHA","2,5,5,7,1"
2002-12-30,"10239,10236,10235,10234",4,"-580.5516,751.176,356.2038,-81.2484","-133.011,296.5032,279.0246,347.0178","CRO,HAX,CSO,HSX","BETAA,ALPHA,BETAA,ALPHA","5,1,4,1"
2002-12-31,"10239,10235,10234",3,"-392.5848,545.136,129.738","-125.9316,275.5614,348.6288","DSO,CSO,HSX","BETAA,BETAA,ALPHA","9,3,2"
2003-01-01,"10239,10240,10234",3,"-167.6646,-333.4308,329.9808","-120.567,-54.68112,379.3938","DAO,DSO,HSX","BETAA,BETAA,ALPHA","12,7,1"
2003-01-01,"10239,10240,10234",3,"-167.6646,-333.4308,329.9808","-120.567,-54.68112,379.3938","DAO,DSO,HSX","BETAA,BETAA,ALPHA","12,7,1"
2003-01-02,"10240,10239,10234",3,"-101.4936,67.5552,504.4092","-84.0714,-100.9488,360.4074","BXO,DAI,HSX","BETAA,BETAA,ALPHA","3,11,3"
2003-01-03,"10242,10240,10239,10234,10241",5,"-847.2,67.7328,283.0932,676.86,570.4686","-109.5912,-81.9408,-101.2008,353.5584,-375.0756","CSO,AXX,DAO,HAX,CAO","BETAA,ALPHA,BETAA,ALPHA,BETAA","6,2,10,1,5"
2003-01-04,"10239,10245,10244,10234,10241,10242,10243",7,"483.9282,-918.726,-801.42,800.838,713.952,-720.474,517.9596","-104.361,218.1078,-223.7094,344.724,-366.1074,-98.3526,-273.8076","CAO,HAX,DAO,AXX,HRX,DAI,DAO","BETAA,ALPHA,BETAA,ALPHA,ALPHA,BETAA,BETAA","5,1,9,1,2,15,5"
2003-01-05,"10245,10244,10242,10240,10239,10241,10243",7,"-823.074,-579.4338,-528.444,597.2124,659.658,815.994,676.98","216.0132,-340.4778,-87.2472,-90.1776,-110.4378,-375.15,-280.2408","HAX,DAO,DAI,HRX,HRX,DRO,DAO","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,ALPHA,ALPHA,BETAA,BETA-GAMMA","1,9,18,1,2,3,13"
2003-01-06,"10240,10245,10244,10243,10242,10239",6,"774.024,-691.302,-409.4676,800.982,-332.0064,785.838","-99.7734,227.8488,-332.2686,-289.1736,-79.5894,-83.6268","HRX,HAX,DAO,DAO,DAI,CSO","ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA","2,3,15,13,28,7"
2003-01-07,"10239,10246,10245,10244,10243,10242,10240,10247",8,"893.292,-168.5844,-523.7556,-218.271,883.656,-50.81736,877.632,-893.736","-94.6566,197.3202,238.134,-326.1942,-300.2376,-74.1582,-109.638,-267.666","BXO,CRO,HAX,CAO,CAO,DAC,CSO,HSX","BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA","3,3,2,13,9,27,3,1"
2003-01-08,"10242,10250,10249,10248,10247,10246,10245,10243,10240,10239,10251,10244",12,"152.5392,-854.352,-291.1668,630.72,-797.478,33.7947,-343.545,927.792,953.19,957.648,-935.982,15.74808","-38.80458,-431.5578,-210.5478,-138.6594,-270.0648,216.804,262.2924,-298.8534,-54.64494,-126.7488,-225.9954,-322.7424","DKC,HSX,CRO,CSO,CAO,AXX,CSO,HAX,CSO,HAX,HAX,DAO","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA","36,2,7,4,5,1,3,1,3,1,1,15"
2003-01-09,"10250,10249,10248,10247,10245,10244,10242,10251",8,"-788.604,-82.137,784.044,-680.928,-117.2766,250.485,363.6036,-891.246","-434.1324,-205.9626,-165.7602,-258.7734,251.3784,-307.0908,-75.0864,-213.9384","CAO,DSO,CSO,DAI,CSO,DSO,DAC,DKI","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA","3,10,7,18,8,15,46,11"
2003-01-11,"10247,10249,10245,10244,10242,10253,10252,10251,10254,10250",10,"-323.7948,339.2622,327.8574,630.57,720.408,565.1178,-703.302,-662.73,-897.78,-529.7034","-189.3792,-189.7878,267.6738,-319.0992,-89.4882,242.0502,-2.52117,-170.5986,-231.4242,-377.904","EAI,DAO,CAO,CSO,DAI,CSO,HSX,EHO,HSX,CAO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,ALPHAGAMMA,BETA-GAMMA,ALPHAGAMMA,BETA-GAMMA","33,11,3,3,23,4,2,12,1,7"
2003-01-12,"10242,10254,10252,10251,10250,10249,10247,10244,10253",9,"849.048,-837.558,-532.8414,-503.7294,-396.2634,529.11,-114.2466,751.998,718.428","-84.3402,-237.5058,9.07086,-177.216,-386.4726,-195.2922,-217.5612,-328.2762,200.1696","DAI,EAO,HAX,EKO,CKO,HSX,EAI,CAO,DAO","BETA-GAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA","28,11,3,34,7,4,46,4,11"
2003-01-13,"10256,10255,10254,10253,10252,10251,10249,10244,10242,10250,10247",11,"-766.428,-231.0558,-653.754,844.764,-302.4726,-340.7784,691.518,856.746,936.654,-196.41,114.8364","-244.8924,-150.195,-218.1954,187.7544,18.84264,-169.6686,-204.1518,-342.8772,-99.8562,-379.6512,-199.11","CAO,CKO,CAO,DSO,AXX,EAI,DAO,BXO,DAO,CKO,EAI","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","5,9,6,4,2,24,3,4,12,9,44"
2003-01-14,"10251,10257,10256,10255,10254,10253,10250,10249,10247,10242",10,"-148.7868,-367.971,-614.31,-16.67004,-460.8684,922.788,0.0,834.006,337.5816,967.386","-164.1204,335.9742,-231.0264,-146.3472,-172.3092,174.099,-360.5328,-218.2104,-201.6138,-114.6882","CAO,BXO,HSX,CKO,HAX,CRO,CAO,HRX,EAI,DAO","BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA","16,3,1,9,2,5,4,1,37,4"
2003-01-15,"10247,10258,10257,10256,10255,10254,10251,10250,10249,10259",10,"510.15,-804.9,-147.3594,-442.1166,198.5622,-278.0244,82.8942,183.111,915.516,-905.334","-223.6224,161.5914,342.5358,-203.7228,-146.241,-164.7486,-161.7912,-360.3834,-234.0636,242.2518","EAO,CAO,CSO,HSX,CKO,CSO,DAO,CAO,AXX,HAX","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA","20,5,6,1,7,6,16,12,1,2"
2003-01-16,"10254,10260,10259,10258,10257,10256,10255,10251,10250,10249,10247",11,"-66.0426,-923.226,-814.098,-674.904,49.29942,-258.312,373.0398,229.0134,363.9978,943.482,676.806","-176.8464,252.6306,226.9368,175.1556,344.943,-213.0804,-148.968,-178.902,-331.3518,-228.7272,-216.3126","CSO,HSX,HSX,CSO,CSO,HSX,CAO,CRO,CAO,AXX,DSO","BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA","5,1,3,5,4,1,13,14,5,2,10"
2003-01-17,"10260,10255,10259,10258,10257,10256,10250,10247,10251,10254",10,"-859.458,600.39,-632.466,-440.3862,308.0802,-49.3068,512.7462,848.712,444.216,181.4454","268.584,-158.5662,229.2162,206.9136,326.244,-191.8992,-384.9624,-218.1384,-184.0038,-159.5616","HAX,DSO,CSO,HSX,AXX,HAX,CAO,CSO,CSO,HAX","ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA","1,7,7,2,1,2,4,3,7,1"
2003-01-18,"10257,10260,10259,10258,10256,10254,10250,10247,10251,10255",10,"553.1268,-757.92,-424.1052,-202.2174,195.846,386.6298,673.584,923.346,617.358,764.208","332.7516,283.695,225.6336,198.8076,-191.8608,-163.3206,-379.9392,-199.6122,-209.304,-154.3692","BXO,CAO,EAO,HSX,CAO,HSX,CAO,BXO,BXO,CAO","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","3,3,17,1,5,1,5,3,6,6"
2003-01-19,"10260,10259,10258,10257,10255,10254,10250,10247,10251,10256",10,"-610.434,-200.6136,16.97484,698.826,876.498,571.719,775.986,946.092,780.648,397.9326","298.1454,250.2558,202.182,322.4862,-187.1982,-171.0858,-408.3006,-232.341,-172.449,-196.002","HAX,DAO,HAX,CSO,HAX,HAX,DAO,CSO,AXX,CSO","ALPHA,BETAA,ALPHA,BETAA,ALPHA,ALPHA,BETA,BETA,ALPHA,BETAA","3,14,2,6,2,1,8,4,2,6"
2003-01-20,"10254,10263,10262,10261,10260,10255,10250,10256,10257,10258,10259",11,"737.646,182.169,689.346,642.858,-416.5236,939.384,847.704,592.1646,829.464,251.6754,33.675","-183.678,-137.8692,-24.86736,479.346,310.4544,-205.7712,-424.5396,-205.035,306.8034,200.829,253.5648","HSX,AXX,DSO,CSO,CAO,HSX,CAO,CRO,DSO,HSX,EAO","ALPHA,ALPHA,BETAA,BETAA,BETAA,ALPHA,BETAA,BETAA,BETAA,ALPHA,BETAA","2,3,3,4,10,1,7,3,4,2,19"
2003-01-21,"10259,10266,10265,10264,10263,10261,10260,10258,10257,10262,10254,10267,10250,10255",14,"249.6762,-746.166,-503.0724,32.12952,388.1628,760.572,-213.795,456.294,906.468,843.372,852.294,-893.952,876.696,947.712","252.1608,-335.8488,142.3716,-252.066,-142.0464,465.6408,318.2496,195.063,289.5996,-41.63064,-198.5868,-314.2878,-425.9064,-224.3496","EAO,HRX,BXO,AXX,CRO,CRO,DAO,HSX,CAO,AXX,HSX,HAX,HAX,HAX","BETAA,ALPHA,BETAA,ALPHA,BETAA,BETAA,BETAA,ALPHA,BETAA,ALPHA,ALPHA,ALPHA,ALPHA,ALPHA","10,2,2,1,3,4,10,2,5,1,1,1,1,1"
2003-01-22,"10260,10269,10268,10267,10266,10263,10262,10261,10259,10258,10257,10254",12,"0.0,-935.64,-374.247,-825.318,-614.226,612.96,930.294,839.034,452.6676,637.2,936.834,922.968","321.8856,-131.0226,282.4308,-296.4732,-321.2082,-153.2412,-59.05902,449.3556,246.2544,185.0076,270.654,-215.9544","DAO,HAX,CAO,CAO,DAO,CAO,AXX,DAO,CRO,HSX,DAO,HSX","BETAA,ALPHA,BETAA,BETAA,BETAA,BETAA,ALPHA,BETAA,BETAA,ALPHA,BETAA,ALPHA","10,4,3,5,9,4,1,3,4,1,2,1"
2003-01-23,"10263,10269,10267,10266,10260,10259,10258,10268,10254",9,"760.92,-859.95,-714.15,-450.5352,213.7518,538.9872,785.064,-166.3548,946.182","-166.3308,-111.942,-279.8946,-309.1356,321.0144,242.6856,171.0732,289.4856,-234.912","DSO,DSO,EAO,ESO,DSO,BXO,HSX,CAO,HSX","BETAA,BETAA,BETAA,BETAA,BETAA,BETAA,ALPHA,BETAA,ALPHA","8,2,10,16,12,3,1,9,1"
2003-01-24,"10269,10268,10267,10263,10260,10258,10266",7,"-763.026,49.9407,-626.934,888.954,412.458,896.664,-204.2478","-79.7874,308.3772,-270.3012,-151.992,347.6322,169.1706,-282.573","DSO,CAO,EAO,DAO,BXO,HSX,EAO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAA,BETAA,ALPHA,BETA-GAMMA","3,8,9,10,5,1,17"
2003-01-25,"10268,10266,10263,10260,10258,10267,10269",7,"277.731,-16.16058,948.3,604.356,956.508,-476.6106,-611.16","322.008,-229.512,-172.6512,336.7566,147.8988,-241.8996,-47.05872","DAO,EAI,DAO,AXX,HSX,EAO,DSO","BETA-DELTA,BETA-GAMMA,BETAAGAMMA,ALPHAGAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-DELTA","6,29,8,1,1,11,3"
2003-01-26,"10267,10268,10266,10260,10269",5,"-253.5846,460.305,158.7294,763.644,-409.6824","-248.049,315.6666,-262.4814,305.2242,-50.92032","EAO,DAO,FAI,AXX,DSO","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHA,BETA-GAMMA","13,7,28,1,4"
2003-01-27,"10271,10272,10270,10269,10268,10267,10266,10260",8,"348.8946,-427.4298,573.6582,-202.0554,631.974,-48.15096,397.7568,867.99","-12.92682,0.829158,9.31668,-25.76706,320.5146,-243.3858,-285.0618,287.4942","CSO,DSO,DSO,DSO,DAO,ESO,FAI,AXX","BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA","4,3,3,3,6,12,21,1"
